id,name,description,abv,ibu,image,BreweryId,StyleId
11,Manny's Pale Ale,"A careful selection of Northwest hops, premium barley, and our unique yeast give this ale a rich and complex malty middle with a snappy hop finish. It's truly a micro that finishes crisp, clean, and smooth.",5.2,38,http://res.cloudinary.com/crowandrew/image/upload/v1603490934/TestProject/uzjgigurj4dfdpem75ww.png,1,6
12,Meowsa!,"Medwards says 'If you force fed a watermelon a steady diet of mandarin oranges and pineapples and then dropped said watermelon into a wood chipper, the resulting aromas and flavors that came out of the business end of the wood chipper would be the best way to describe this new DIPA. As much as I dislike the term ‚Äòjuicy' this DIPA is very juicy and has very little bitterness for the style.‚Äù Straight from the brewer's mouth.",7.9,NULL,http://res.cloudinary.com/crowandrew/image/upload/v1603490993/TestProject/uvgjbycsjhipij9wgi0j.png,1,1
13,Rogers Pilsner,Yakima grown Czech-style Sterling hops give this refreshing pilsner a spicy and earthy hop aroma. Malt character is accentuated by a German Lager Yeast that ferments dry but round and complex.,4.7,25,http://res.cloudinary.com/crowandrew/image/upload/v1603491039/TestProject/ugyzdto8djodcvxgn8xl.png,1,8
14,Tomtoberfest,"Another crisp clean lagered beer gets extra malty flavor from Munich malt, and an imported flavor from water treatment to mimic the water profile of the Munich region in Germany.",6.4,36,http://res.cloudinary.com/crowandrew/image/upload/v1603491100/TestProject/gco0jv6iymkjxtqdw37l.png,1,9
15,Warchild,"Warchild is kinda like that super cool uncle who was actually a pineapple that loves crashing on your parents couch in the basement, eating potato chips and not being uptight, man. This IIPA is on the lower end of the ABV, but makes up for it with over 7.5 lbs per bbl of Columbus, Apollo, Mosaic, Citra and Galaxy hops, giving it super tasty tropical and dank aromas that waft leisurely out of the glass. Contains wheat.",7.5,NULL,http://res.cloudinary.com/crowandrew/image/upload/v1603491157/TestProject/zjtu8lwir7drhaabc85r.png,1,1
16,Amber Waves,"This medium-bodied Amber Ale hints of dark fruity raisin, currants, and ripe plum. Slightly sweet and nutty from a blend of toasted malts including a touch of Chocolate Malt and flaked Barley, and balanced off with a nice mix of Northwest hops.",5.9,30,http://res.cloudinary.com/crowandrew/image/upload/v1603491544/TestProject/d6pirm0fww31vyda5mht.png,2,10
17,Baltic Porter,"A strong dark lager, with a rich and clean malty sweetness, exuding chocolate, coffee, and roasted flavors and aromas.",8.7,38,http://res.cloudinary.com/crowandrew/image/upload/v1603491544/TestProject/d6pirm0fww31vyda5mht.png,2,2
18,Belgian Blonde,"Bright golden in color, medium bodied, and piquant. Fragrant hints of banana, clove, and coriander highlight this incredibly enjoyable Abbey-style Belgian beer.",6.7,25,http://res.cloudinary.com/crowandrew/image/upload/v1603491544/TestProject/d6pirm0fww31vyda5mht.png,2,11
19,Blackberry Sour,"For those of you who enjoy sour beers, we wanted to show you a little love too. A tart and sweet kettle sour, exclusively hopped with Mosaic, as well as over 170 pounds of blackberry puree!",4.4,83,http://res.cloudinary.com/crowandrew/image/upload/v1603491544/TestProject/d6pirm0fww31vyda5mht.png,2,12
20,Blitz Fire Brown,Our Big Brown Beer we like to show off to all our friends. We aged this decadently dark ale over local bourbon-soaked cacao nibs from Theo Chocolates for added controversy. Smarter than your average beer.,5.9,16,http://res.cloudinary.com/crowandrew/image/upload/v1603491544/TestProject/d6pirm0fww31vyda5mht.png,2,4
21,Castaway Barrel-Aged Barleywine,"Originally brewed in 2018, then conditioned throughout 2109 in Bourbon Whiskey barrels, this strong and malty winter treat features delicious notes of caramel, raisin, vanilla, and whiskey.",11,65,http://res.cloudinary.com/crowandrew/image/upload/v1603491544/TestProject/d6pirm0fww31vyda5mht.png,2,13
22,Dinger Juice,"This big and hazy double IPA beer exudes juicy notes of orange, apricot, and citrusy tangerine from the abundant additions of Mosaic, Simcoe, Citra, Galaxy, and Amarillo. Strong, but not boozy or overly bitter.",8.9,44,http://res.cloudinary.com/crowandrew/image/upload/v1603491544/TestProject/d6pirm0fww31vyda5mht.png,2,14
23,Fancy Pants Pastry Porter,"We fancied up this rich porter with some local Theo Chocolate's cacao nibs, a few vanilla beans, and a dab of roasted coffee beans. While not overpowering, the added treats make for a deliciously well rounded beer.",5.5,28,http://res.cloudinary.com/crowandrew/image/upload/v1603491544/TestProject/d6pirm0fww31vyda5mht.png,2,2
24,Hop Convoy Guava IPA,"This hazy IPA was brewed with a ton of late addition and dry-hopped goodness for big flavor and aroma, without being overly bitter or boozy. The result is a smooth, fresh, and balanced hop bomb that we can't get enough of. Heavily hopped with Citra, Idaho 7, Motueka, Jarrylo, Comet, and Mosaic, just to name a few. Plus a touch of pink guava puree!",6.6,21,http://res.cloudinary.com/crowandrew/image/upload/v1603491544/TestProject/d6pirm0fww31vyda5mht.png,2,1
25,Jesus Brewed This IPA,"True Story. Brewer Jesus Garcia-Martinez brewed this delicious IPA featuring Cashmere and El Dorado hops. A hybrid East vs. West Coast IPA, this slightly hazy beer is fluffy and medium bodied, with fragrant notes of kumquat, tangerine, and pineapple.",6.6,50,http://res.cloudinary.com/crowandrew/image/upload/v1603491544/TestProject/d6pirm0fww31vyda5mht.png,2,1
26,Murder Weapon Smoked Lager,"This delicious German Rauchbier (Smoked Lager) is a beautiful deep and clear burgundy in appearance, and wafts of lightly smoked malt, with a clean and dry finish.",7.2,22,http://res.cloudinary.com/crowandrew/image/upload/v1603491544/TestProject/d6pirm0fww31vyda5mht.png,2,16
27,November Heat,"This strong barrel aged Wheatwine (brewed with over 50% wheat in the grist) was aged for almost 4 months in Rye whiskey barrels at our Post Alley location. Warming malty notes of caramel, bourbon, and dried fruits sit atop a full bodied and hearty ale. The perfect beer to enjoy on a cold Seattle day or evening.",12.12,67,http://res.cloudinary.com/crowandrew/image/upload/v1603491544/TestProject/d6pirm0fww31vyda5mht.png,2,17
28,Oatmeal Stout,"A smooth and hearty stout brewed with flaked oats and roasted barley. This chocolaty treat is full-bodied, roasty, and lightly hopped with experimental hop HBC-682 for a well-rounded balance.",6.8,33,http://res.cloudinary.com/crowandrew/image/upload/v1603491544/TestProject/d6pirm0fww31vyda5mht.png,2,18
29,Old Stove Pilsner,"A fresh, crisp, and tasty dry lager. Our take on the traditional German Pilsner. Czech Saaz and German Hallertau hops. Clean and Quenching.",4.73,35,http://res.cloudinary.com/crowandrew/image/upload/v1603491544/TestProject/d6pirm0fww31vyda5mht.png,2,8
30,Out of the Past,"This classic West Coast IPA is a bold and tasty hop bomb, leaning toward the bitter side, yet still well balanced. Simcoe, Warrior, Cascade, Centennial, Amarillo, and Palisade hops exude floral orange, grapefruit and citrus rind notes. Golden bright in appearance, with a deliciously lingering bitterness. Everyone deserves a refreshing break from the haze craze when possible!",7.7,68,http://res.cloudinary.com/crowandrew/image/upload/v1603491544/TestProject/d6pirm0fww31vyda5mht.png,2,1
31,Streaker Citra Pale Ale,"Our bright, floral and refreshing American pale with a touch of wheat, brewed exclusively with loads of super sexy Citra hops. Streaks of sunshine.",5.7,30,http://res.cloudinary.com/crowandrew/image/upload/v1603491544/TestProject/d6pirm0fww31vyda5mht.png,2,6
32,The Elusive Fifth Star,"This Juicy IPA radiates notes of soft tangerine, orange, apricot and pine from plenty of late addition Australian Galaxy and New Zealand Waimea hops. Citrusy, and crushable.",7,38,http://res.cloudinary.com/crowandrew/image/upload/v1603491544/TestProject/d6pirm0fww31vyda5mht.png,2,1
33,The Two Pronged Crown,"This big NW IPA exudes bright tangerine, grassy pine, and complex earthy notes from our abundant additions of dank Mosaic hops.",6.5,62,http://res.cloudinary.com/crowandrew/image/upload/v1603491544/TestProject/d6pirm0fww31vyda5mht.png,2,1
34,The Yoked Gnome,"A big, strong, and delicious Belgian Dark Strong Ale, brewed with Vienna, crystal and chocolate malts. Candy-sugar, caramel, and Abbey-style phenolic notes, over a smooth full bodied belgian base.",11,38,http://res.cloudinary.com/crowandrew/image/upload/v1603491544/TestProject/d6pirm0fww31vyda5mht.png,2,19
35,Tip Dipper,"Our annual velvety smooth batch of Scotch Ale is back, conditioned with over ten pounds of heather tips. This strong winter warmer delivers heavy layers of complex malt notes including caramel, raisin, and plum.",8.9,24,http://res.cloudinary.com/crowandrew/image/upload/v1603491544/TestProject/d6pirm0fww31vyda5mht.png,2,20
36,Umbrella Not Included,"Literally a Juice Bomb - A Double IPA brewed with heaps of passionfruit puree, orange peel, and guava puree. This deliciously tart beer exudes tons of tropical citrus aromas from both the fruit and the heavily hopped bill of El Dorado, Citra and Mandarina Bavaria.",9.5,35,http://res.cloudinary.com/crowandrew/image/upload/v1603491544/TestProject/d6pirm0fww31vyda5mht.png,2,14
37,50 shades of Green,"Fresh is right! Fresh hops, that is, in this bodice ripper of a pale ale. This naughty beer is buttered coyly, then finished with wet, wet Mosaic hops.",6.1,56,http://res.cloudinary.com/crowandrew/image/upload/v1603492911/TestProject/kp5pangmyiegeluic1q5.png,3,6
38,Avatar,Pours golden copper with a lively head. Avatar has a very floral nose while the taste is an elegant balance allowing the subtle flavor of jasmine to prevail while still delivering the I.P.A.'s essential hoppiness.,6.3,43,http://res.cloudinary.com/crowandrew/image/upload/v1603492994/TestProject/tvgaokgjqfn4ijx5lmto.png,3,1
39,Bifrost,Pours golden with orange highlights. Smells alluringly sweet like caramel apples with a little spice and orange zest. Taste is bold and balanced with a good amount of citrus and earthy hop bitters to offset the malt character. Finishes dry with a bit of fruit.,8.3,58,http://res.cloudinary.com/crowandrew/image/upload/v1603493067/TestProject/vhxfolnl8fq9ufs5lu79.png,3,21
40,Dark O the Moon,Pours dark as night with creamy tan head. A little smokiness on the nose with malty bittersweet chocolate and a little coffee with subtle earthy pumpkin and spices for an overall nice and creamy mouth.,6.5,20,http://res.cloudinary.com/crowandrew/image/upload/v1603493138/TestProject/eef3orks65gyfccaikho.png,3,7
41,DayGlow,"Dayglow IPA :: Another Manic Lupululu! This is a beer with the insistent beat of hops, as driving and inevitable as a Full Moon party in Haad Rin. It drips with tropical, sunshiny Mosaic, and twinkles with touches of Eldorado and Centennial. A touch of wheat hazes the malt bill a bit around the edges, and the IBUs are stuck in the mid-sixties.",6.5,NULL,http://res.cloudinary.com/crowandrew/image/upload/v1603493188/TestProject/tafbsada4z9isdi3xjpp.png,3,1
42,Dragontooth Stout,"Pours a deep, midnight black with a light tan head. Smells of coffee and dark chocolate and the mouthfeel is velvety smooth with flavors of roasted malts, oatmeal and warm bread. Dragonstooth is a very drinkable stout?‚Äì?satisfying but not heavy.",8.1,56,http://res.cloudinary.com/crowandrew/image/upload/v1603493247/TestProject/wffniwllpilc66x4io0e.png,3,7
43,Great Pumpkin Ale,"Pours deep copper with ghostly white head. Intense pumpkin, sugar and spice on the nose with a nice bready and malty backdrop to tame all those autumn spices into a remarkably smooth, balanced and delectable fall treat.",8.1,20,http://res.cloudinary.com/crowandrew/image/upload/v1603493310/TestProject/o6shke3wxkvb5twd8bue.png,3,21
44,Hawaiian Sunburn,"Like a nice Hawaiian Sunburn, this brew packs a little heat and a little sweet, backed by a tart, refreshing finish.",5.4,9,http://res.cloudinary.com/crowandrew/image/upload/v1603493360/TestProject/esfmvhm6hplod6agrfvt.png,3,12
45,Mens Room,"Pours a solid orange/amber color. Aromas of sweet caramel malts and floral hops dominate with hints of bread, grass, and citrus. A crackery, biscuity malt flavor with caramel, floral hops, and a bitter citrusy finish.",5.6,51,http://res.cloudinary.com/crowandrew/image/upload/v1603493489/TestProject/jt0qkkfagqplytjdkt4o.png,3,10
46,Oddland Ginger Berry Brown Ale,"Oddland Ginger Berry Brown is a thicket of raspberry, blackberry and boysenberry with a thorny touch of ginger.",8,NULL,http://res.cloudinary.com/crowandrew/image/upload/v1603493579/TestProject/au5oxky9cxepc9b39mj4.png,3,4
47,Perseus Porter,Pours espresso brown with coffee ice cream-colored head. Gives off a strong coffee nose and tastes slightly smoky and malty with a dry-roasted coffee aftertaste.,5.7,47,http://res.cloudinary.com/crowandrew/image/upload/v1603493637/TestProject/zhnrnpupjjzzkxy52gce.png,3,2
48,Rolling Stone,"Rolling Stone Lager is about embracing the spirit of the music that transforms us, brings us together, and also sets us free.",4.8,47,http://res.cloudinary.com/crowandrew/image/upload/v1603493685/TestProject/jsizaut6tbnbsmdvpmvh.png,3,15
49,Salute The Sun,Pale ale brewed with black limes.,5.2,32,http://res.cloudinary.com/crowandrew/image/upload/v1603493735/TestProject/iiwsi0bw1bqdls5yhgak.png,3,6
50,Superfuzz,"Superfuzz Blood Orange Pale :: Call it Orangesploitation. There's a new beer in town--Superfuzz Blood Orange Pale--and he's sticking it to the Man. Superfuzz is a beer you can get behind, with Pale, Munich and Dextri-Pils malts and German Northern Brewer and Cascade hops to bitter and flavor. But it's Citra, Amarillo and blood orange peel and puree that'll really get you on your feet. Never dance? We'll see about that. With a 5.4% ABV and layer on layer of mystical complexity, Superfuzz is shining, streaming, gleaming, flaxen, waxen.",6.4,45,http://res.cloudinary.com/crowandrew/image/upload/v1603493808/TestProject/ps6aqn9cw7ypqvhso2im.png,3,6
51,Cascadian Dark Ale,Medium bodied dark color with bold bitterness & hop character and aromas of chocolate and roasted malt. Finished with Cascade hops.,5.5,77,http://res.cloudinary.com/crowandrew/image/upload/v1603493984/TestProject/xpgkdvxr4froki1zctsx.png,4,15
52,English Bitter,"Moderate bitterness with low hop flavor and fruity esters and earthy floral character. Low alcohol levels, and low carbonation make this an easy-drinking session beer. Light copper color with moderate malt aroma.",3.5,30,http://res.cloudinary.com/crowandrew/image/upload/v1603493984/TestProject/xpgkdvxr4froki1zctsx.png,4,23
53,Hefeweizen,Light-medium bodied with aroma and flavors of clove and banana with a slightly grainy-sweet malt character. Our take on a classic Bavarian Weissbier. Light-medium bodied with aroma and flavors of clove and banana with a slightly grainy-sweet malt character.,4.2,NULL,http://res.cloudinary.com/crowandrew/image/upload/v1603493984/TestProject/xpgkdvxr4froki1zctsx.png,4,24
54,Renton River Haze,Hazy IPA - New England,6.3,NULL,http://res.cloudinary.com/crowandrew/image/upload/v1603493984/TestProject/xpgkdvxr4froki1zctsx.png,4,1
55,West Coast Style IPA,"This hop dominated flavor profile makes this beer a Northwest favorite. Medium-light bodied, Bitter with Zeus hops and finished with Cascade hops then dry hopped with more Cascade.",7.4,82,http://res.cloudinary.com/crowandrew/image/upload/v1603493984/TestProject/xpgkdvxr4froki1zctsx.png,4,1
56,Partly Cloudy,"The name fits so well with the original Suns Out weather theme, and the†beer†is phenomenal. ... The†beer†is double dry-hopped with Citra and El Dorado hops, lending itself to a citrus taste on the front end, and a touch of bitterness on the back-end.",7.4,82,http://res.cloudinary.com/crowandrew/image/upload/v1603565467/TestProject/d2sbsspzmg5s9mxqedvf.png,5,1
57,African Amber,"The Northwest's original, unfiltered and dry hopped amber ale. African Amber's pioneering and innovative style is proof that drink-abilty does not have to be achieved by sacrificing flavor. This beer erupts with a floral, hoppy taste, followed by a well rounded malty middle, finishing with a nicely organic hop flavor. Locally sourced two row grain and a blend of specialty malts give our amber its rich taste. Further complexity is achieved by leaving the beer unfiltered, providing exceptional flavor, as well as giving our amber its unique 'cloudy' look. Lastly, we actually place a bag of fresh, locally grown, Yakima valley hops in each keg creating what has become the original, cult classic, northwest amber ale.",7.4,82,http://res.cloudinary.com/crowandrew/image/upload/v1603565757/TestProject/duekfut1hmrocltotxai.png,6,10
58,Black Cat Porter,"Hints of chocolate and coffee accent this rich and creamy brew. Blackcat's smooth approachable flavor demonstrates that dark beers can be enjoyed by all. Our traditional Porter features five select specialty malts, English Ale yeast and fresh Northwest hops. Blackcat is clean and crisp, yet complex and flavorful. A superbly balanced beer that is drinkable any time of the year.",5.2,32,http://res.cloudinary.com/crowandrew/image/upload/v1603566088/TestProject/gw1rmlrbrw9nbgrwofay.png,6,2
59,Cascadian Dark Ale,Pale & dark roasted malts join together with generous portions of Yakima Valley hops in this unique new style of beer that was born in the Northwest. All the rich malty goodness you would expect from dark ale is accented by the hop kick of an IPA. Citrus and floral aroma is complimented by velvety smooth roasted malt flavor. A Northwest style of beer which boldly exhibits the wealth of local ingredients that make this such a great beer region.,7,76,http://res.cloudinary.com/crowandrew/image/upload/v1603566088/TestProject/gw1rmlrbrw9nbgrwofay.png,6,25
60,Coffee Porter,Local roasted coffee from Cafe Lusso gives our porter a delightful kick!,5.2,74,http://res.cloudinary.com/crowandrew/image/upload/v1603566088/TestProject/gw1rmlrbrw9nbgrwofay.png,6,2
61,Kristall Weiss,"The aroma and flavor of a Weissbier without yeast is very similar to Weissbier with yeast (Hefeweizen/Hefeweissbier) with the caveat that fruity and phenolic characters are not combined with the yeasty flavor and fuller-bodied mouthfeel of yeast. The phenolic characteristics are often described as clove- or nutmeg-like and can be smoky or even vanilla-like. Banana-like esters are often present. These beers are made with at least 50 percent malted wheat, and hop rates are quite low. Hop flavor and aroma are absent. Weissbier is well attenuated and very highly carbonated, yet its relatively high starting gravity and alcohol content make it a medium- to full-bodied beer. The color is very pale to deep golden. Because the beer has been filtered, yeast is not present. The beer will have no flavor of yeast and a cleaner, drier mouthfeel. The beer should be clear with no chill haze present. No diacetyl should be perceived.",5.5,36,http://res.cloudinary.com/crowandrew/image/upload/v1603566088/TestProject/gw1rmlrbrw9nbgrwofay.png,6,26
62,Two Tun IPA,"Mac & Jack's IPA is a refreshing, smooth, and balanced India Pale Ale. Using a variety of specialty malts and plenty of locally grown Yakima valley hops, we have created an IPA that has great hop flavor without being bitter. Pale roasted malts give our IPA a deep golden hue, and solid malt backbone, which nicely compliments its crisp hop finish. Copious quantities of hops are added very late in the boil giving the beer its floral aroma and hop forward character.",7,70,http://res.cloudinary.com/crowandrew/image/upload/v1603566088/TestProject/gw1rmlrbrw9nbgrwofay.png,6,1
